Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
628	9	Fa5	F5	340	340	1	16	208	99	96		26.16667
629	9	Mi5b5	E5b5	331	331	1	16	208	99	96		26.19444
630	9	Re5	D5	327	327	1	16	208	99	96		26.22222
631	9	Do5	C5	318	318	1	8	417	95	96		26.27778
632	53			0	0	0	0	0	0	0		26.27778
633	9	Re5	D5	327	327	1	16	208	99	96	ey	26.30556
634	9	Do5	C5	318	318	1	16	208	99	96		26.33333
635	9	Si4b5	B4b5	309	309	1	8	417	95	96		26.38889
636	9	Do5	C5	318	318	1	8	417	95	96	le	26.44444
637	9	Re5	D5	327	327	1	8	417	99	96	yen 	26.5
638	9	Mi5b5	E5b5	331	331	1	8	417	99	96		26.55556
639	9	Fa5	F5	340	340	1	8	417	99	96		26.61111
640	9	Sol5	G5	349	349	1	8	417	95	96		26.66667
641	9	Fa5	F5	340	340	1	8	417	99	96	pey	26.72222
642	9	Sol5	G5	349	349	1	16	208	99	96		26.75
643	9	Fa5	F5	340	340	1	16	208	99	96		26.77778
644	9	Fa5	F5	340	340	1	16	208	99	96		26.80556
645	9	Mi5b5	E5b5	331	331	1	16	208	99	96		26.83333
646	9	Mi5b5	E5b5	331	331	1	16	208	99	96		26.86111
647	9	Re5	D5	327	327	1	16	208	99	96		26.88889
648	9	Re5	D5	327	327	1	16	208	99	96		26.91667
649	9	Do5	C5	318	318	1	16	208	99	96		26.94444
650	9	Do5	C5	318	318	1	16	208	99	96		26.97222
651	9	Si4b5	B4b5	309	309	1	16	208	95	96		27
652	9	Do5	C5	318	318	1	8	417	99	96		27.05556
653	9	Re5	D5	327	327	1	16	208	99	96		27.08333
654	9	Do5	C5	318	318	1	16	208	99	96		27.11111
655	9	Si4b5	B4b5	309	309	1	16	208	99	96		27.13889
656	9	La4b5	A4b5	300	300	1	16	208	99	96		27.16667
657	9	Sol4	G4	296	296	1	16	208	99	96		27.19444
658	9	Fa4	F4	287	287	1	16	208	99	96		27.22222
659	9	Sol4	G4	296	296	1	8	417	95	96		27.27778
660	53			0	0	0	0	0	0	0		27.27778
661	9	Mi5b5	E5b5	331	331	1	4	833	99	96	mâ	27.38889
662	9	Re5	D5	327	327	1	16	208	99	96		27.41667
663	9	Do5	C5	318	318	1	16	208	99	96		27.44444
664	9	Si4b5	B4b5	309	309	1	8	417	99	96		27.5
665	9	Do5	C5	318	318	1	16	208	99	96		27.52778
666	9	Si4b5	B4b5	309	309	1	16	208	99	96		27.55556
667	9	Si4b5	B4b5	309	309	1	16	208	99	96		27.58333
668	9	La4b5	A4b5	300	300	1	16	208	99	96		27.61111
669	9	La4b5	A4b5	300	300	1	16	208	95	96		27.63889
670	9	Sol4	G4	296	296	1	16	208	95	96	ne	27.66667
671	53			0	0	0	0	0	0	0		27.66667
672	9	Sol4	G4	296	296	3	8	1250	95	96	dir  	27.83333
