Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
272	9	Mi5b2	E5b1	334	335	1	16	208	99	96		11.33333
273	9	Fa5	F5	340	340	1	8	417	99	96		11.38889
274	9	Sol5	G5	349	349	1	8	417	99	96		11.44444
275	9	La5b4	A5b4	354	354	1	8	417	99	96		11.5
276	9	Sol5	G5	349	349	1	16	208	99	96		11.52778
277	9	Fa5	F5	340	340	1	16	208	99	96		11.55556
278	9	Si5b1	B5b1	366	366	1	8	417	99	96		11.61111
279	9	La5b4	A5b4	354	354	1	16	208	95	96		11.63889
280	9	Sol5	G5	349	349	1	16	208	95	96	ne	11.66667
281	9	Sol5	G5	349	349	3	8	1250	95	96	dir  	11.83333
282	53			0	0	0	0	0	0	0		11.83333
283	9	Sol5	G5	349	349	1	16	208	95	96	SAZ	11.86111
284	9	La5b4	A5b4	354	354	1	16	208	95	96	.	11.88889
285	9	Sol5	G5	349	349	1	16	208	95	96	.	11.91667
286	9	Fa5	F5	340	340	1	16	208	95	96	.	11.94444
287	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	11.97222
288	9	Fa5	F5	340	340	1	16	208	95	96	.	12
289	9	Sol5	G5	349	349	3	16	625	95	96	.	12.08333
290	9	La5b5	A5b5	353	353	1	16	208	95	96	.	12.11111
291	9	Sol5	G5	349	349	1	16	208	95	96	.	12.13889
292	9	Si5b1	B5b1	366	366	1	16	208	95	96	.	12.16667
293	9	La5b5	A5b5	353	353	1	8	417	95	96	.	12.22222
294	53			0	0	0	0	0	0	0		12.22222
295	9	Es	Es	-1	-1	1	8	417	100	0		12.27778
296	9	La5b5	A5b5	353	353	1	4	833	95	96	Sâ	12.38889
297	9	La5b5	A5b5	353	353	1	8	417	95	96	ki	12.44444
298	9	La5b5	A5b5	353	353	3	16	625	99	96	yâ 	12.52778
299	9	Sol5	G5	349	349	1	16	208	99	96		12.55556
300	9	Fa5	F5	340	340	1	8	417	99	96		12.61111
301	9	Sol5	G5	349	349	1	8	417	95	96		12.66667
302	9	Mi5b5	E5b5	331	331	3	16	625	99	96	uş	12.75
303	9	Do6	C6	371	371	1	16	208	99	96		12.77778
304	9	Si5b5	B5b5	362	362	1	8	417	99	96		12.83333
305	9	La5b5	A5b5	353	353	1	8	417	99	96		12.88889
306	9	Sol5	G5	349	349	1	8	417	99	96		12.94444
307	9	Fa5	F5	340	340	1	8	417	99	96		13
308	9	Fa5	F5	340	340	1	8	417	99	96		13.05556
309	9	Sol5	G5	349	349	1	16	208	99	96		13.08333
310	9	Fa5	F5	340	340	1	16	208	99	96		13.11111
311	9	Mi5b5	E5b5	331	331	1	16	208	99	96		13.13889
312	9	Re5	D5	327	327	1	16	208	99	96		13.16667
313	9	Mi5b5	E5b5	331	331	1	4	833	95	96		13.27778
314	53			0	0	0	0	0	0	0		13.27778
315	9	Fa5	F5	340	340	1	16	208	99	96	şâ	13.30556
316	9	Mi5b5	E5b5	331	331	1	16	208	99	96		13.33333
317	9	Re5	D5	327	327	1	8	417	95	96		13.38889
318	9	Mi5b5	E5b5	331	331	1	8	417	95	96	kı 	13.44444
319	9	Fa5	F5	340	340	3	16	625	99	96	dil	13.52778
320	9	La5b5	A5b5	353	353	1	16	208	99	96		13.55556
321	9	Sol5	G5	349	349	1	16	208	99	96		13.58333
322	9	Fa5	F5	340	340	1	16	208	99	96		13.61111
323	9	Mi5b5	E5b5	331	331	1	16	208	99	96		13.63889
324	9	Re5	D5	327	327	1	16	208	95	96		13.66667
325	9	Re5	D5	327	327	3	8	1250	99	96	şâd 	13.83333
326	53			0	0	0	0	0	0	0		13.83333
327	9	Do5	C5	318	318	1	8	417	99	96		13.88889
328	9	Re5	D5	327	327	3	32	312	99	96		13.93056
329	9	Fa5	F5	340	340	1	32	104	99	96		13.94444
330	9	Mi5b5	E5b5	331	331	1	16	208	99	96		13.97222
331	9	Re5	D5	327	327	1	16	208	99	96		14
332	9	Re5	D5	327	327	1	16	208	99	96		14.02778
333	9	Mi5b5	E5b5	331	331	1	16	208	99	96		14.05556
334	9	Fa5	F5	340	340	1	16	208	99	96		14.08333
335	9	Sol5	G5	349	349	1	16	208	99	96		14.11111
336	9	Sol5	G5	349	349	1	16	208	99	96		14.13889
337	9	Fa5	F5	340	340	1	16	208	99	96		14.16667
338	9	Mi5b5	E5b5	331	331	1	16	208	99	96		14.19444
339	9	Re5	D5	327	327	1	16	208	99	96		14.22222
340	9	Do5	C5	318	318	1	8	417	95	96		14.27778
341	53			0	0	0	0	0	0	0		14.27778
342	9	Re5	D5	327	327	1	16	208	99	96	ey	14.30556
343	9	Do5	C5	318	318	1	16	208	99	96		14.33333
344	9	Si4b5	B4b5	309	309	1	8	417	95	96		14.38889
345	9	Do5	C5	318	318	1	8	417	95	96	le	14.44444
346	9	Re5	D5	327	327	1	8	417	99	96	yen 	14.5
347	9	Mi5b5	E5b5	331	331	1	8	417	99	96		14.55556
348	9	Fa5	F5	340	340	1	8	417	99	96		14.61111
349	9	Sol5	G5	349	349	1	8	417	95	96		14.66667
350	9	Fa5	F5	340	340	1	8	417	99	96	pey	14.72222
351	9	Sol5	G5	349	349	1	16	208	99	96		14.75
352	9	Fa5	F5	340	340	1	16	208	99	96		14.77778
353	9	Fa5	F5	340	340	1	16	208	99	96		14.80556
354	9	Mi5b5	E5b5	331	331	1	16	208	99	96		14.83333
355	9	Mi5b5	E5b5	331	331	1	16	208	99	96		14.86111
356	9	Re5	D5	327	327	1	16	208	99	96		14.88889
357	9	Re5	D5	327	327	1	16	208	99	96		14.91667
358	9	Do5	C5	318	318	1	16	208	99	96		14.94444
359	9	Do5	C5	318	318	1	16	208	99	96		14.97222
360	9	Si4b5	B4b5	309	309	1	16	208	95	96		15
361	9	Do5	C5	318	318	1	8	417	99	96		15.05556
362	9	Re5	D5	327	327	1	16	208	99	96		15.08333
363	9	Do5	C5	318	318	1	16	208	99	96		15.11111
364	9	Si4b5	B4b5	309	309	1	16	208	99	96		15.13889
365	9	La4b5	A4b5	300	300	1	16	208	99	96		15.16667
366	9	Sol4	G4	296	296	1	16	208	99	96		15.19444
367	9	Fa4	F4	287	287	1	16	208	99	96		15.22222
368	9	Sol4	G4	296	296	1	8	417	95	96		15.27778
369	53			0	0	0	0	0	0	0		15.27778
370	9	Mi5b5	E5b5	331	331	1	4	833	99	96	mâ	15.38889
371	9	Re5	D5	327	327	1	16	208	99	96		15.41667
372	9	Do5	C5	318	318	1	16	208	99	96		15.44444
373	9	Si4b5	B4b5	309	309	1	8	417	99	96		15.5
374	9	Do5	C5	318	318	1	16	208	99	96		15.52778
375	9	Si4b5	B4b5	309	309	1	16	208	99	96		15.55556
376	9	Si4b5	B4b5	309	309	1	16	208	99	96		15.58333
377	9	La4b5	A4b5	300	300	1	16	208	99	96		15.61111
378	9	La4b5	A4b5	300	300	1	16	208	95	96		15.63889
379	9	Sol4	G4	296	296	1	16	208	95	96	ne	15.66667
380	53			0	0	0	0	0	0	0		15.66667
381	9	Sol4	G4	296	296	3	8	1250	95	96	dir  	15.83333
382	9	Sol5	G5	349	349	1	16	208	95	96	SAZ	15.86111
383	9	La5b5	A5b5	353	353	1	16	208	95	96	.	15.88889
384	9	Sol5	G5	349	349	1	16	208	95	96	.	15.91667
385	9	Fa5	F5	340	340	1	16	208	95	96	.	15.94444
386	9	Mi5b2	E5b1	334	335	1	16	208	95	96	.	15.97222
387	9	Fa5	F5	340	340	1	16	208	95	96	.	16
388	53			0	0	0	0	0	0	0		16
389	9	Sol5	G5	349	349	3	16	625	95	96	.	16.08333
390	9	La5b5	A5b5	353	353	1	16	208	95	96	.	16.11111
391	9	Sol5	G5	349	349	1	16	208	95	96	.	16.13889
392	9	Si5b1	B5b1	366	366	1	16	208	95	96	.	16.16667
393	9	La5b5	A5b5	353	353	1	8	417	95	96	.	16.22222
394	53			0	0	0	0	0	0	0		16.22222
395	9	Es	Es	-1	-1	1	8	417	100	0		16.27778
396	9	La5b5	A5b5	353	353	1	4	833	95	96	Sâ	16.38889
397	9	La5b5	A5b5	353	353	1	8	417	95	96	ki	16.44444
398	9	La5b5	A5b5	353	353	3	16	625	99	96	yâ 	16.52778
399	9	Sol5	G5	349	349	1	16	208	99	96		16.55556
400	9	Fa5	F5	340	340	1	8	417	99	96		16.61111
401	9	Sol5	G5	349	349	1	8	417	95	96		16.66667
402	9	Mi5b5	E5b5	331	331	3	16	625	99	96	uş	16.75
403	9	Do6	C6	371	371	1	16	208	99	96		16.77778
404	9	Si5b5	B5b5	362	362	1	8	417	99	96		16.83333
405	9	La5b5	A5b5	353	353	1	8	417	99	96		16.88889
406	9	Sol5	G5	349	349	1	8	417	99	96		16.94444
407	9	Fa5	F5	340	340	1	8	417	99	96		17
408	9	Fa5	F5	340	340	1	8	417	99	96		17.05556
409	9	Sol5	G5	349	349	1	16	208	99	96		17.08333
410	9	Fa5	F5	340	340	1	16	208	99	96		17.11111
411	9	Mi5b5	E5b5	331	331	1	16	208	99	96		17.13889
412	9	Re5	D5	327	327	1	16	208	99	96		17.16667
413	9	Mi5b5	E5b5	331	331	1	4	833	95	96		17.27778
414	53			0	0	0	0	0	0	0		17.27778
415	9	Fa5	F5	340	340	1	16	208	99	96	şâ	17.30556
416	9	Mi5b5	E5b5	331	331	1	16	208	99	96		17.33333
417	9	Re5	D5	327	327	1	8	417	95	96		17.38889
418	9	Mi5b5	E5b5	331	331	1	8	417	95	96	kı 	17.44444
419	9	Fa5	F5	340	340	3	16	625	99	96	dil	17.52778
420	9	La5b5	A5b5	353	353	1	16	208	99	96		17.55556
421	9	Sol5	G5	349	349	1	16	208	99	96		17.58333
422	9	Fa5	F5	340	340	1	16	208	99	96		17.61111
423	9	Mi5b5	E5b5	331	331	1	16	208	99	96		17.63889
424	9	Re5	D5	327	327	1	16	208	95	96		17.66667
425	9	Re5	D5	327	327	3	8	1250	99	96	şâd 	17.83333
426	53			0	0	0	0	0	0	0		17.83333
427	9	Do5	C5	318	318	1	8	417	99	96		17.88889
428	9	Re5	D5	327	327	3	32	312	99	96		17.93056
429	9	Fa5	F5	340	340	1	32	104	99	96		17.94444
430	9	Mi5b5	E5b5	331	331	1	16	208	99	96		17.97222
431	9	Re5	D5	327	327	1	16	208	99	96		18
432	9	Re5	D5	327	327	1	16	208	99	96		18.02778
433	9	Mi5b5	E5b5	331	331	1	16	208	99	96		18.05556
434	9	Fa5	F5	340	340	1	16	208	99	96		18.08333
435	9	Sol5	G5	349	349	1	16	208	99	96		18.11111
436	9	Sol5	G5	349	349	1	16	208	99	96		18.13889
437	9	Fa5	F5	340	340	1	16	208	99	96		18.16667
438	9	Mi5b5	E5b5	331	331	1	16	208	99	96		18.19444
439	9	Re5	D5	327	327	1	16	208	99	96		18.22222
440	9	Do5	C5	318	318	1	8	417	95	96		18.27778
441	53			0	0	0	0	0	0	0		18.27778
442	9	Re5	D5	327	327	1	16	208	99	96	ey	18.30556
443	9	Do5	C5	318	318	1	16	208	99	96		18.33333
444	9	Si4b5	B4b5	309	309	1	8	417	95	96		18.38889
445	9	Do5	C5	318	318	1	8	417	95	96	le	18.44444
446	9	Re5	D5	327	327	1	8	417	99	96	yen 	18.5
447	9	Mi5b5	E5b5	331	331	1	8	417	99	96		18.55556
448	9	Fa5	F5	340	340	1	8	417	99	96		18.61111
449	9	Sol5	G5	349	349	1	8	417	95	96		18.66667
450	9	Fa5	F5	340	340	1	8	417	99	96	pey	18.72222
451	9	Sol5	G5	349	349	1	16	208	99	96		18.75
452	9	Fa5	F5	340	340	1	16	208	99	96		18.77778
453	9	Fa5	F5	340	340	1	16	208	99	96		18.80556
454	9	Mi5b5	E5b5	331	331	1	16	208	99	96		18.83333
455	9	Mi5b5	E5b5	331	331	1	16	208	99	96		18.86111
456	9	Re5	D5	327	327	1	16	208	99	96		18.88889
457	9	Re5	D5	327	327	1	16	208	99	96		18.91667
458	9	Do5	C5	318	318	1	16	208	99	96		18.94444
459	9	Do5	C5	318	318	1	16	208	99	96		18.97222
460	9	Si4b5	B4b5	309	309	1	16	208	95	96		19
461	9	Do5	C5	318	318	1	8	417	99	96		19.05556
462	9	Re5	D5	327	327	1	16	208	99	96		19.08333
463	9	Do5	C5	318	318	1	16	208	99	96		19.11111
464	9	Si4b5	B4b5	309	309	1	16	208	99	96		19.13889
465	9	La4b5	A4b5	300	300	1	16	208	99	96		19.16667
466	9	Sol4	G4	296	296	1	16	208	99	96		19.19444
467	9	Fa4	F4	287	287	1	16	208	99	96		19.22222
468	9	Sol4	G4	296	296	1	8	417	95	96		19.27778
469	53			0	0	0	0	0	0	0		19.27778
470	9	Mi5b5	E5b5	331	331	1	4	833	99	96	mâ	19.38889
471	9	Re5	D5	327	327	1	16	208	99	96		19.41667
472	9	Do5	C5	318	318	1	16	208	99	96		19.44444
473	9	Si4b5	B4b5	309	309	1	8	417	99	96		19.5
474	9	Do5	C5	318	318	1	16	208	99	96		19.52778
475	9	Si4b5	B4b5	309	309	1	16	208	99	96		19.55556
476	9	Si4b5	B4b5	309	309	1	16	208	99	96		19.58333
477	9	La4b5	A4b5	300	300	1	16	208	99	96		19.61111
478	9	La4b5	A4b5	300	300	1	16	208	95	96		19.63889
479	9	Sol4	G4	296	296	1	16	208	95	96	ne	19.66667
480	9	Sol4	G4	296	296	3	8	1250	95	96	dir  	19.83333
481	53			0	0	0	0	0	0	0		19.83333
482	54			0	0	0	0	0	0	0	nev`eser@sol4	19.83333
483	9	Re5	D5	327	327	1	16	208	95	96	SAZ	19.86111
484	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	19.88889
485	9	Re5	D5	327	327	1	16	208	95	96	.	19.91667
486	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	19.94444
487	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	19.97222
488	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	20
489	9	Re5	D5	327	327	3	16	625	95	96	.	20.08333
490	9	Mi5b4	E5b4	332	332	1	16	208	95	96	.	20.11111
491	9	Re5	D5	327	327	1	16	208	95	96	.	20.13889
492	9	Do5#4	C5#4	322	322	1	16	208	95	96	.	20.16667
493	9	Re5	D5	327	327	1	8	417	95	96	.	20.22222
494	55			0	0	0	0	0	0	0		20.22222
495	53			0	0	0	0	0	0	0		20.22222
496	9	Es	Es	-1	-1	1	8	417	100	0		20.27778
497	9	Do5#4	C5#4	322	322	1	4	833	95	96	Güft_	20.38889
498	9	Re5	D5	327	327	1	8	417	95	96	ü 	20.44444
499	9	Mi5b4	E5b4	332	332	3	16	625	99	96	gûy_	20.52778
500	9	Re5	D5	327	327	1	16	208	99	96		20.55556
501	9	Fa5#4	F5#4	344	344	1	8	417	99	96		20.61111
502	9	Mi5b4	E5b4	332	332	1	16	208	99	96		20.63889
503	9	Re5	D5	327	327	1	16	208	95	96		20.66667
504	9	Sol5	G5	349	349	1	2	1667	99	96	i 	20.88889
505	53			0	0	0	0	0	0	0		20.88889
506	54			0	0	0	0	0	0	0	nikriz@do5	20.88889
507	9	La5	A5	358	358	1	4	833	99	96		21
508	9	Si5b5	B5b5	362	362	1	16	208	99	96		21.02778
509	9	La5	A5	358	358	1	16	208	99	96		21.05556
510	9	Sol5	G5	349	349	1	16	208	99	96		21.08333
511	9	Fa5#4	F5#4	344	344	1	16	208	99	96		21.11111
512	9	Mi5b4	E5b4	332	332	1	16	208	99	96		21.13889
513	9	Re5	D5	327	327	1	16	208	99	96		21.16667
514	9	Do5	C5	318	318	1	16	208	99	96		21.19444
515	9	Si4b1	B4b1	313	313	1	16	208	99	96		21.22222
516	9	Do5	C5	318	318	1	8	417	95	96		21.27778
517	55			0	0	0	0	0	0	0		21.27778
518	9	Mi5b4	E5b4	332	332	1	4	833	95	96	â	21.38889
519	9	Mi5b4	E5b4	332	332	1	16	208	99	96	le	21.41667
520	9	Re5	D5	327	327	1	16	208	95	96		21.44444
521	9	Re5	D5	327	327	3	16	625	99	96	me 	21.52778
522	9	Do5	C5	318	318	1	16	208	99	96		21.55556
523	9	Do5	C5	318	318	3	16	625	99	96		21.63889
524	9	Si4b5	B4b5	309	309	1	16	208	95	96		21.66667
525	9	Si4b5	B4b5	309	309	3	16	625	99	96	al	21.75
526	9	La4b4	A4b4	301	301	1	16	208	99	96		21.77778
527	9	Sol4	G4	296	296	3	16	625	99	96		21.86111
528	9	Mi5b4	E5b4	332	332	1	16	208	99	96		21.88889
529	9	Re5	D5	327	327	1	16	208	99	96		21.91667
